Title,Text
Outcome Budget / Output-OutcomeMonitoring Framework (OOMF),"Major Expenditure Reforms havebeen undertaken by the Government over thelast few years. This not only includessimplification of appraisal and approvalprocesses, but also structural changes in theprocess of Budget making itself, like doing awaywith Plan and non-Plan etc..As a result, the cost-centres are being treated inan integrated manner, within only the statutoryrevenue capital framework. This enablesanother major structural reform, which is tobring the public schemes and projects under aMonitorable Output-Outcome Framework. Since 2017-18, in addition to the financialoutlays of schemes of the Ministries beingindicated in the Budget document, expectedoutputs and outcomes of Schemes are also beingpresented in a consolidated Outcome Budgetdocument, along with the Budget. These Outlays,Outputs and Outcomes are being presented to43BUDGET MANUALthe Parliament in measurable terms, bringing ingreater accountability for the agencies involvedin the execution of government schemes andprojects. Outlay is the amount that is providedfor a given scheme or project in the Budget .Output refers to the direct and measurableproduct of program activities, often expressed inphysical terms or units. Outcomes are thecollective results or qualitative improvementsbrought about by the delivery of these services. The document presented along withBudget contains Output-Outcome Frameworkfor major Central Sector (CS) Schemes andCentrallySponsored Schemes (CSS) with outlayof ` 500 crore and more. Output-Outcome Monitoring Framework(OOMF) shall be prepared as per the format(Appendix-XLVIII)circulated vide this Ministry’sD.O. letter No. 2(33)-B(P&A)/2018 dated 13thMay 2019. Ministries/Departments shall submitOOMF in the format to NITI Aayog (in Englishand Hindi). Necessary timeline for preparationand submission of OOMF shall be separatelycommunicated by the NITI Aayog to allMinistries/Departments. NITI Aayog shallfinalize the OOMF and forward the same toDepartment of Expenditure (PFC-II Division).DoE will review the targets of outputs andoutcomes with reference to budgeted outlay inconsultation with DMEO, NITI Aayog andforward the final document to Budget Division."
OUTCOME-OUTPUT MONITORINGFRAMEWORK (OOMF),"From the fiscal year 2006-07, OutcomeBudget has been a part of the budgetaryprocess, wherein every Ministry presents apreliminary Outcome Budget. Since 2017-18, the expected outputs andoutcomes of the schemes are also beingpresented in a consolidated Outcome Budgetdocument, along with the Budget. These Outlays, Outputs and Outcomesare being presented to the Parliament inmeasurable terms, bringing-in greateraccountability for the agencies involved in theexecution of Government schemes and projects. The Outcome Budget contains Output-Outcome Framework for major Central Sector(CS) Schemes and Centrally Sponsored Schemes(CSS) with outlay of ` 500 crore and more."
PARLIAMENTARY CONTROL," Parliamentary Control over publicexpenditure is not limited to the voting of moneysrequired by Government for carrying on theadministration of the country but also extendsto ensuring prudent expenditure. As per Article 118 of the Constitution,each House of Parliament may make rules forregulating, subject to the provisions ofConstitution, its procedure and the conduct ofits business. Under these provisions and in order tohelp it to exercise effective control over publicexpenditure, Lok Sabha has set up threefinancial Committees viz. Public Accounts18BUDGET MANUALCommittee, Estimates Committee and theCommittee on Public Undertakings, apart fromthe Department Related Standing Committeeswhich came later on. The roles and functions ofthese Committees and some other are describedin brief in the following paragraphs. ESTIMATES COMMITTEEi. As per Rule 310 of the Lok Sabha, thereshall be a Committee on Estimates forthe examination of such of the estimatesas may seem fit to the Committee or arespecifically referred to it by the House orthe Speaker. The functions of theCommittee shall be:(a)To report what economies,improvements in organizationalefficiency or administrative reform,consistent with the policy underlyingthe estimates may be effected;(b)To suggest alternative policies inorder to bring about efficiency andeconomy in administration;(c)To examine whether the money iswell laid out with the limits of thepolicy implied in the estimates; and(d)To suggest the form in which theestimates shall be presented toParliament.ii. The Estimates Committee may continueexamination of the estimates from timeto time throughout the financial year andreport to the House as its examinationproceeds. DEPARTMENT RELATED STANDINGCOMMITTEESi. In order to strengthen parliamentaryoversight of the administration andscrutiny of budgetary proposals and Bills,a full-fledged Committee system wasintroduced in 1993. This system not onlyensures accountability of the executiveto the Parliament but also enablesParliament and the people to know aboutthe Government’s final replies to theCommittee’s specific recommendations.ii. The main functions of the Committee,as laid down in Rule 270 of the Rules ofProcedure and Conduct of Business inthe Rajya Sabha are:a.To consider Demands for Grants ofthe related Ministries/Departmentsand report thereon. The report shallnot suggest anything of the natureof cut motions;b.To examine Bills pertaining to theMinistries /Departments referred tothe Committee by the Chairmanor the Speaker, as the case may be,and present a report thereon;c.To consider the annual reports of theMinistries/Departments and make areport thereon; andd.To consider national basic long termpolicy documents presented to theHouses, if referred to the Committeeby the Chairman or the Speaker, asthe case may be, and make a reportthereon. PUBLIC ACCOUNTS COMMITTEEi. As per Rule 308 of the Lok Sabha, (1)there shall be a Committee on PublicAccounts for the examination ofaccounts showing the appropriation ofsums granted by the House for theexpenditure of the Government of India,the Annual Finance Accounts of theGovernment of India and such otheraccounts laid before the House as theCommittee may think fit.19BUDGET MANUALii. In scrutinizing the AppropriationAccounts of the Government of India andthe report of the Comptroller & AuditorGeneral thereon, it shall be the duty ofthe Committee to satisfy itself:(a)That the moneys shown in theaccounts as having been disbursedwere legally available for, andapplicable to, the service or purposeto which they have been applied orcharged;(b)That the expenditure conforms to theauthority which governs it; and(c)That every re-appropriation hasbeen made in accordance with theprovisions made in this behalf underrules framed by competentauthority.iii. It shall also be the duty of the Committee:(a)To examine the Statement ofAccounts showing the income andexpenditure of State Corporations,trading and manufacturing schemes,concerns and projects together withthe balance sheets and statementsof profit and loss accounts which thePresident may have required to beprepared or are prepared under theprovisions of the statutory rulesregulating the financing of aparticular corporation, trading ormanufacturing scheme or concern orproject and the report of the C&AGthereon;(b)To examine the Statement ofAccounts showing the income andexpenditure of autonomous andsemi-autonomous bodies, the auditof which may be conducted by theComptroller & Auditor General ofIndia either under the directions ofthe President or by a statute ofParliament; and(c)To consider the Report of the C&AGin cases where President may haverequired him to conduct an audit ofany receipts or to examine theaccounts of stores and stocks.iv. If any money has been spent on anyservice during a financial year in excessof the amount granted by the House forthat purpose, the Committee shallexamine with reference to the facts ofeach case the circumstances leading tosuch an excess and make suchrecommendation as it may deem fit.20BUDGET MANUAL21BUDGET MANUAL"
PRE BUDGET DISCUSSIONS &FINALIZATION OF PROVISIONALESTIMATES,"Budget Division prepares briefs for thepre-Budget meetings in a prescribed format,with tentative RE and BE ceilings. Detailed discussions are held on variousitems of expenditure on the basis of trends ofexpenditure, absorptive capacity, UnspentBalance, status of appraisal & approval of theschemes/projects etc. The requirements of funds for allcategories of expenditure including variousprogrammes and schemes, along with receiptsof the Departments are discussed during thepre-Budget meetings chaired by Secretary(Expenditure). Receipts of departmentally runcommercial undertakings, which are nettedagainst the gross expenditure, are alsodiscussed in detail. All Ministries/Departmentsare required to submit details of all theautonomous bodies/implementing agencies forwhich a dedicated corpus fund has beencreated. Reasons for their continuance andrequirement of grant-in-aid support and whythe same should not be wound up should beexplained. Estimates initially submitted by theDepartments may undergo some changes as aresult of scrutiny in the Budget Division anddeliberations in the pre-Budget meetingsbetween the Secretary (Expenditure) and theSecretary or Financial Adviser of the Departmentconcerned. Expenditure estimates are provisionallyfinalized after Secretary (Expenditure) completesdiscussions with the Secretaries and FinancialAdvisers. Consequent to pre-Budget meetings,provisional ceilings for expenditure arecommunicated to Ministries/Departments afterthe approval of Finance Minister. Ministries/Departments are required toindicate the actual expenditure (net of recoveries)in the SBEs against each of the schemes for theprevious year in UBIS."
PRESIDENT’S APPROVAL,"According to Article 204(1) of Rules ofProcedure and Conduct of Business in LokSabha, the Budget is presented to Parliamenton such date as decided by the President. The Budget is presented at am onthe 1st February or any other date, as decidedby the Government. In the year when General Elections to LokSabha are held, the Budget may be presentedtwice, first to secure a Vote on Account for a fewmonths and later, for the full financial year. The President’s approval for Budgetpresentation is obtained by Secretary General,Lok Sabha Secretariat after the Speaker agreesto the date suggested by the Government beforethe commencement of the Budget Session. .5 After the President’s approval, Membersare informed of the date and time of thepresentation of Budget through Lok Sabha/Rajya Sabha Bulletin Part-II."
PROVISIONS FOR NORTH EASTERNREGION AND SIKKIM:," All Ministries/Departments (except thosespecifically exempted by Ministry ofDevelopment of North Eastern Region(DoNER)are required to spend 10% of the Gross BudgetSupport (GBS) from their allocation underCentral Sector Schemes and CentrallySponsored Schemes for the benefit of NorthEastern Region & Sikkim. Budget provisions towards projects/schemes for development of North EasternRegion and Sikkim may be provided under the29BUDGET MANUALrespective schemes/projects below the MajorHead ‘2552-North Eastern Region’ for Revenueexpenditure and the Major Head ‘4552-CapitalOutlay on North Eastern Region’/Major Head‘6552- Loans for North Eastern Region’ forCapital expenditure for eventual re-appropriationto appropriate functional heads of expenditure. Instructions issued by Ministry of Financevide OM No.2(1)-B(S)-2017 dated .2017 ofDepartment of Economic Affairs (BudgetDivision) and 72(08)/PF II/2017 dated of Department of Expenditure [PublicFinance (Central-I)] may be adhered to. DoNER should send the List ofMinistries/ Departments and the schemes toBudget Division, Ministry of Finance, if any, thatare exempted from earmarking 10% of thebudgeted allocation as a lump sum provisionfor NER, by due dates as prescribed in BudgetCircular."
PUBLIC ACCOUNT (Part-III):,"All other public moneys received by oron beha lf of the Government of India arecredited to the Public Account of India asempowered vide Ar ticle 266(2) of theConstitution of India. Part III shows transactions relating to Debt(other than those include d in Part I), ‘Deposits’ ,‘Advances’, ‘Remittances’ and ‘Suspense’. Such funds, however, remain merged inthe cash balance of the Central Government,(with the Reserve Bank of India as the bankersto the Government), till payments are made tothose to whom the funds pertain or are utilizedfor general or specific purpose s as in the caseof Rese rve Funds, or necessary adjustments aremade. For example in the case of inter-Government transactions. The net funds in thePublic Acc ount are also available for financingthe expendi ture of Government. Public Account transactions are groupedaccording to sectors and sub-sectors which arefurther sub-divided into Major Heads of Accountand further down as per the accountingclassification system of Government. The detailsof various sectors and sub sectors in the PublicAccount have been brought out in Annexure 12."
PUBLIC ACCOUNT,"Estimates of transactions relating to thePublic Account of India are required to befurnished by the Chief Controllers of Accountsand the concerned Accounts Officers of UnionTerritory Governments/ Administrations bothwith legislatures and without legislatures in theform prescribed in the Budget Circular. Preparation of the estimates should bebased on detailed review of the Public Accounttransactions that are accounted, past trends andother information available. The estimates ofreceipts and disbursements should be preparedon separate sheets and should reach BudgetDivision by the date prescribed in the BudgetCircular. The estimates relating to GroupInsurance Scheme for Central Government andUnion Territory employees are not required tobe included in this Statement by Ministries/Departments since these are furnished by theChief Controller of Accounts, Ministry of Financein a consolidated manner for the CentralGovernment Employees and by the UT Cell ofMinistry of Home Affairs for the Union TerritoryGovernment Employees . Estimates relating to Public Accounttransactions should have adequate explanationfor any major variation and nature oftransaction through foot notes. Ministry of Railways (Railway Board),Ministry of Defence (Finance Division) andDepartment of Telecommunications are requiredto furnish the estimates of Public Accounttransactions in their Cash RequirementEstimates. Normally Ministries/Departments shouldnot have any large transactions in PublicAccount except in areas like Provident Funds andapproved Special Deposits. There should notideally be any Net debit or credit in a year inthe Public Account transactions and, therefore,will not be accepted except with full justificationfor such instances.ESTIMATES OF EXPENDITURE"
PUBLIC ACCOUNTS COMMITTEE,"Committee on Public Accounts isconstituted by Parliament each year forexamination of accounts showing theappropriation of sums granted by Parliament forexpenditure of Government of India, the annualFinance Accounts of Government of India. Reports of the Comptroller and Auditor-General on Revenue Receipts mainly form thebasis of the deliberation of the Committee. Inscrutinising the Appropriation Accounts andthe Reports of the Comptroller and Auditor-General thereon, it is the duty of the Committeeto satisfy itself:(a) that the money shown in the accountsas having been disbursed were legallyavailable for and, applicable to theservice or purpose to which they havebeen applied or charged;(b) that the expenditure conforms to theauthority which governs it; and(c) that every re-appropriation has beenmade in accordance with the provisionsmade in this behalf under the rulesframed by competent authority. One of the duties of the Committee is toascertain that money granted by Parliament hasbeen spent by Government within the scope ofthe Demand. It considers the justification forspending more or less than the amountoriginally sanctioned. In the event of excess expenditure, theCommittee examines with reference to the factsof each case, the circumstances leading to suchan excess and makes such recommendationsas it may deem fit and makes recommendations Government take action on therecommendations of the Committee andsubmit action taken notes to the Committee.The Committee then present an Action TakenReport after considering the views of theGovernment. The Government further submitan “Action Taken Statement” on the actiontaken by the Government on the “Action TakenReport” of the Committee. The Action TakenStatement is generally laid before the Housewithout any further examination by theCommittee.58BUDGET MANUAL59BUDGET MANUAL"
Re-appropriations,"Re-appropriation of funds from oneprimary unit of appropriation to another suchunit within a grant or appropriatio n may besanctione d by a competen t authority at any timebefore the close of the financial year to whichsuch grant or appropriation relates. Power for re-appropriation is subject tothe provisions of Rule 10 of the Delegation ofFinancial Powers Rules, 1978, and also subjectto such other general or specific restrictions asmay be imposed by the Finance Ministry in thisbehalf. Re-appropriation of funds shall be madeonly when it is known or anticipated that theappropriation for the unit from which funds areto be transferred shall not be utilized in full orthat savings can be effected in the appropriationfor the said unit. Rule 10 of Delegation of Financial PowerRules stipulates the following restrictions onre-appropriation of funds. Re-appropriation offunds cannot be made –i. To meet expenditur e which has not beensanctione d by an autho rity competen t tosanction it;ii. From appropriations as charged onConsol idated Fund of India to meetexpend iture voted by Parliament orvice-versa;49BUDGET MANUALiii. From one Grant/Appropriation toanothe r Grant/Approp riation;iv. To meet expenditure on a new serviceor new Instrument of Servicev. General restriction related to expenditureon Works( Refer DFPR Rule 10) Government of India’s Decision No.(6)below Rule 10 of DFPRs provides for thefollowing:i. Power to augment provision s throug hre-appropriation of funds below ` 5 crorehas been delegated to administrativeMinis tries/Departments;ii. Full power s for aug menting theprovisions unde r primary units ofappropriation viz. ‘Salaries’, ‘Wages’ ,‘Pensionar y Charges’ , ‘Medi calExpenses ’ and ‘Ren t, Rates and Taxes’through re-appropriation of fundsavailable within the same section of theGrant;iii. Augmentation under budget heads(primary units of app ropriation) ofestab lishment related expenditure (officeexpenses , travel expenses , OTA, etc.)through re-appropriation require theapproval of Depa rtment of Expenditure(to be processed by Personnel Division);iv. No re-appropriatio n of funds fromsavings available under Externally AidedProject (EAP) to non-EAP purpose.v. No re-appropriatio n of funds fromsavings available under ‘Salaries’ to meetexpenditure under ‘Non-Salaries’. Without the previous consent of theFinance Ministry, no re-appropriation shall bemade-i. From and to the provision for the SecretService expend iture;ii. So as to augmen t the provision underthe primary units ‘Salaries’ , ‘Wages’ ,‘Office Expenses’ and ‘Other Charges’,taken together for the entire Grant orAppropriation, except for the exceptionfor the Ministry of Information andBroadcasting provided vide Note unde rRule 10 (6) (b) of DFPR;iii. from the provisions made for anyspecified new item of expenditure in aGrant or Appropriation for ano therpurpose; Budge t Division’s O.M. dated .2006(Annexure - 15 ) prescribes the following:i. ‘New Service’ has been held as referringto expend iture arising out of a policydecision, not brought to the notice ofParliame nt earlie r, includin g a newactivity or a new form of investment (asappearing in article 115 (1)(a) of theConstitution of India);ii. ‘New Instrument of Services’ refers torelatively large expenditur e arisin g outof importan t expansion of an existingactivity;iii. Specific financial limits for determiningthe case s relating to ‘New Service’ and‘New Instrument of Service ’ arepresc ribed in the above mentioned O.M.;Exceptions –a. Considering the volum e and natureof Government transactions, it is notpossible to list out all such cases whichare governed by ‘New Service’/’Ne wInstrument of Service’ limits.Broadly, normal activities lik eadministrative expenditure includingthose resulting from re-organisation ofMinistries/Depar tments, holding ofconferences, seminars, exhibitions,50BUDGET MANUALsurveys, feasibility studies, etc., assistanceto foreign governments, contribution ofinterna l bod ies and fulfilme nt ofGovernment guarantees are notcovered/attracted by the limits of ‘NewService’/’New Instrument of Service’;b. Transfers to State and Union TerritoryGovernments are also exempt from thelimits applicable to ‘New Service’/’NewInstrument of Service’ provided thescheme is not new;c. These limits are applicable only toexpenditure which is subject to Vote ofParliament (Financial limits of NS / NISare not applicable on expenditurecharged on Consolidated Fund); An application for re-appropriation offunds should ordinarily be supported by astatement in Form GFR 4 or any other specialform authorized by departmental regulationsshowing how the excess is proposed to be met.In all orders, sanctioning re-appropriation, thereasons for saving and excess of Rupees 1 lakhor over and the primary units (secondary units,wherever necessary), affected should beinvariably stated. The authority sanctioning there-appropriation should endorse a copy of theorder to the Accounts Officer."
Repayment of Principal ofGoI fully service Bonds,"Total-National EducationMission-Sarva ShikshaAbhiyan8. National Progra mme of Mid-Day Meals in Schools Gross Budgetary Support Allocation from PrarambhikShiksha Kosh Interest under EBR (e.g.HEFA ) Repayment of Principal ofGoI fully service Bonds Total-National Programmeof Mid-Day Meals inSchools9. Transfer to PrarambhikShiksha Kosh (PSK)*10. Amount met fromPrarambhik Shiksha Kosh(will be a negative entry)*27BUDGET MANUALassistance to autonomous body wouldgo under category iii– Other CentralExpenditure. It may be noted that if grantsare being given to any autonomous bodyunder a scheme for implementing thatscheme, then the line need not be brokenup and would figure under the CentralSector Scheme. All SBEs shouldnecessarily follow the above format. While preparing the provisionalestimates as indicated above, care must betaken to provide Budget for all committed andcontinuing expenditure, before includingprovisions for new schemes/ items ofexpenditure. Further, the following factorsinter-alia, must be taken into consideration whilepreparing the estimates:i. Latest actuals of current year along withactuals for the same period in precedingyear;ii. Actual expenditures during the previousfinancial year; (refers to the entire yearas opposed to H1)iii. Appropriations/re-appropriationsordered/contemplated during theremaining part of the current FY, or anysanction to expenditure issued/proposedto be issued, including on new schemeduring the remaining part of the year. Incase EFC/SFC/Cabinet approvals arepending then these may be clearlybrought out.iv. All pending arrears should beincorporated in SBE and in case a partof it is left out in SBE, the reason for thesame need to be separately submitted.v. Any excess expenditure incurred till datemay be specifically highlighted so thatthe same is taken into account in RevisedEstimates.vi. Care should be also taken for includingadvances from Contingency Fund andthe need to recoup the same. Following information may also befurnished to Budget Division, along with theprovisional SBEs:i. Items of expenditure, which are matchedby or linked to receipts such as externallyaided projects, bonus share, cesses etc.ii. Provision included in respect of vacantposts.iii. Separate statement giving the committedliabilities as arrears of the Ministry/Department, in terms of paymentsalready due, but lying unfulfilled due tolack of budgetary provision. These arethe liabilities which have neither beenpaid nor been provided in the Budgetbut are supported through a validsanctioniv. Unspent balances (released by ministrybut pending for utilisation byimplementing agencies) as on 31stMarch of the previous financial year, 30thJune and 30th September of the currentfinancial year with all grantee/loaneebodies (other than the States) in respectof all bodies which received more than` 1 crore grant/loan.v. Unspent balances and pendingUtilization Certificates, State-wise andscheme-wise in respect of all schemesas on 31st March of the previous financialyear, 30th June and 30th September ofthe current financial year.vi. Explanations for variations between BEand RE (proposed) to be given scheme-wise separately.vii. Measures to increase user charges leviedby Ministries/Departments and28BUDGET MANUALautonomous bodies with a view torecover costs.viii. Efforts to recover arrears of Non-Taxrevenue and whether all their CPSUs arepaying dividend as per new dividendpolicy issued by DIPAM’s O.M. No. 5/2/2016-Policy dated .2016. Actualsof last year and estimates for current yearmay be provided.ix. With respect to subsidies, assumptionsregarding subsidy calculations shall alsobe clearly indicated.x. Details of major/important umbrellascheme may also be provided.xi. In case of ABs covered under TSA, thedetails of grants-in-aid provided, theamount utilized and the amount writtenback to Consolidated Fund may also beprovided."
RESERVE BANK OF INDIA," As the banker to the Government, it hascrucial role in the Monetary and Credit PolicyMeasures , Government Securities Market,Strengthening of Capital Market, Technologyand Payment System, Development ofCommercial and Co-operative Banking,Financial Institutions and Non-Banking FinanceCompanies etc . The public debt raised by Governmentby issue of securities is managed by the ReserveBank. The Reserve Bank also manages securitiescreated and issued under any other law or rulehaving the force of law, provided such law orrule provides specifically for their managementby the Reserve Bank. Role of Public Debt Management Cell,created in the Ministry of Finance is advisory inPublic Debt Management."
RESPONSIBILITIES FOR BUDGETDOCUMENTS,"Preparation and finalization of differentBudget documents is currently assigned todifferent sections. However, these allocations aredynamic and may be changed/re-assigned asper the requirements with the approval ofAS/JS (Budget). Each Director/Deputy Secretaryin charge of the concerned Section in the BudgetDivision is responsible for keeping a close watchand personally supervise the preparation ofthese documents. It is advised that the staff of the BudgetDivision fully acquaint themselves with thecurrent year’s document in relation to theallocated responsibilities (Annexure 5) andpreferably have a check-list for each statementof each document, for which they areresponsible."
REVIEWS UNDER FRBM ACT,"FRBM Act, 2003 stipulates that theCentral Government shall lay in each financialyear before both Houses of Parliament thefollowing Statements of fiscal policy along withthe Annual Financial Statement and Demandsfor Grants, namely:(a) Medium-Term Fiscal Policy Statement &Fiscal Policy Strategy Statement; and(b) Macro-economic Framework Statement. As per Section 3 of FRBM Act, 2003,Government is required to lay Medium-termExpenditure Framework Statement (MTEF)before both Houses of Parliament, immediatelyfollowing the session of Parliament in whichthe fiscal policy statements (the Medium TermFiscal Policy Statement, the Macro-EconomicFramework Statement) were laid. MTEF shallprovide three year rolling targets for theprescribed expenditure indicators (underrevenue and capital section) with specificationof underlying assumptions and risk involved.It also contains expenditure commitments ofmajor policy changes involving new service,new instrument of service etc. MTEF gives amedium term perspective to CentralGovernment finances and specifies a path forGovernment’s fiscal consolidation. It may alsoprovide closer integration between Budget andthe FRBM Statements and facilitate expenditureplanning with medium-term perspective. Statement on half yearly review of thetrends in receipts and expenditure: As perSection 7(1) of the Fiscal Respons ibility andBudge t Manage ment Act, 2003 governmentmonitors trend of receipts and expend iturethroug h this statement laid in the parliamentduring winter and Monsoon sessions."
Revised Estimates,"Revised Estimate s are estimates ofprobable receipt s and expenditur e arrived atafter mid-yea r review. Revised Estimates are not voted byParliament, and hence by itself does not provideany authority for expend iture. Therefore, anyadditional projections made in the RevisedEstimates needs to be authorised for expenditurethrough Parliament’s approval (in case of NewService/New Instrument of Service, etc) or byRe-approp riation order as per Delegation ofFinanc ial Powe r Rules. Revised Estimates should be prepare dwith due care as these are important tools offiscal manage ment."
ROLE OF BUDGET DIVISION,"Functions of the Budget Division,Department of Economic Affairs, as included inthe Government of India (Allocation of BusinessRules), 1961 are:i. Ways and meansii. Preparation of Budget includingsupplementary/excess grants and whena proclamation by the President as tofailure of Constitutional machinery is inoperation in relation to a State or a UnionTerritory, preparation of the Budget ofsuch State or Union Territory.iii. Market Borrowing Programme of CentralGovernment and GovernmentGuaranteed Institutions.iv. Floatation of Market Loans by CentralGovernment and issue and dischargeof Treasury bills, Cash Management.v. Administration of the Public Debt Act,1944 (18 of 1944).vi. Fixation of interest rates for CentralGovernment’s borrowings and lendingthrough NSSF .vii. Policy regarding Accounting and Auditprocedures including classification oftransactions.viii. Financial matters relating to Partition,Federal Financial Integration andRe-organisation of States.ix. Contingency Fund of India andadministration of the Contingency Fundof India Act, 1950 (49 of 1950).x. Monitoring of budgetary position of theCentral Government.xi. Public Provident Fund Scheme.xii. Finance Commission.xiii. Resources of Five Year and Annual Plans.xiv. National Deposit Scheme, SpecialDeposit Schemes, Compulsory DepositScheme, Other Deposit Schemes of theCentral Government.xv. Small Savings, including theadministration of the National SavingsInstitute.xvi. Duties and Powers of the Comptrollerand Auditor General.14BUDGET MANUALxvii. Laying of Audit Reports before theParliament under article 151 of theConstitution.xviii. Financial emergency.xix. Government guarantees.xx. Functions of the Treasurer of CharitableEndowments for India.xxi Administration of Central Road andInfrastructure Fund Act, 2000. . 2Budget Related Functionsi. The Budget Division is headed by JointSecretary/ Addl. Secretary (Budget).ii. The primary responsibility of BudgetDivision relates to ‘Scrutiny of Receipt andExpenditure Estimates’ in the process ofpreparation of Budget Estimates for theensuing fiscal, Revised Estimates ofcurrent fiscal, and related Statements/Annexures of various Budget documents.iii. On receipt of the departmentalestimates, Budget Division examines theestimates item by item with due regardto the explanations furnished by theestimating officers. The recommendations,if any, of the administrative departmentsand the trends of actual expenditure/receipt during the current year.iv. In respect of expenditure estimates,Budget Division does a close scrutiny ofthe projections made by Departments inthe context of approvals/sanctions by thecompetent authorities and otherexpenditure of emergent nature. Thepurpose is to enable realistic expenditureprojections.v. Budget Division also does a detailedscrutiny and making such corrections asare necessary in the classification ofreceipts and expenditure under thevarious Major Heads, Voted/ Charged,Revenue/ Capital.vi. After the scrutiny of each departmentalestimate the Budget Division adoptsfigures for each item included in theestimates and cause the estimates soadopted to be compiled in the form itappears in various Budget documents.vii. Simultaneously, Budget Divisioncommunicates to the Ministry/Department, the figures adopted in theBudget. After all the Ministry/Department’s estimates are settled andthe detailed estimates are completed inall respects, the Budget Divisionexamines the estimates as a whole inorder to assess the overall/consolidatedposition and to carry out such changesas may be found necessary, with theapproval of competent authorities.viii. At any stage before the Budget ispresented to the Parliament, FinanceMinistry may make such modificationsin the estimates as may be necessitatedby the emergence of factors affecting theestimates so far framed. Such action isrequired in order to fulfill its responsibilityto present the estimates as correctly aspossible. The detailed processes relatingto the budget making exercise are dealtwith separately in Chapters III and IV ofthis Manual."
ROLE OF COMPTROLLER ANDAUDITOR GENERAL OF INDIA,"Comptroller and Auditor General ofIndia (C&AG) plays a crucial role inparliamentary financial control. The auditedAppropriation and Finance Accounts aresubmitted along with the audit reports of theC&AG to the President of India under Article151 of the Constitution. These accounts andreports are then caused to be laid before theParliament. The primary function of the C&AG auditis to verify the accounts to ascertain-i. Whether the moneys shown in theaccounts as having been disbursed werelegally available for and applicable tothe service or purpose to which they havebeen applied or charged and whetherthe expenditure conforms to the authoritywhich governs it, andii. Whether the assessment, collection andallocation of revenue have been properlydone. The C&AG also examines the accountsrelating to grants and loans given by theGovernment to other bodies. There is also anenabling provision in the Act passed by theUnion Parliament in 1971 to take up the auditof any other bodies or authorities. Constitutionalprovisions related to C&AG are at Annexure 2 ."
ROLE OF FINANCIAL ADVISERS:,"Due to volume of work andadministrative convenience, the system ofintegrated Financial Advisor was introduced. Financial Adviser acts on behalf of theMinistry of Finance in respect of matters outsidethe delegated financial powers of theAdministrative Ministry. As per Redefined Charter for FinancialAdvisers issued on 1st June, 2006, FinancialAdvisers shall be responsible for Budgetformulation. The responsibilities of the FinancialAdvisers also includes issues of FRBM relatedtasks, Expenditure and Cash Management,Project/programme formulation, appraisal,monitoring and evaluation, screening ofproposals, leveraging of non-budgetaryresources for sectoral development, Non taxreceipts, Tax expenditure. Budget-related checks by FinancialAdvisorsi. To ensure that the schedule forpreparation of Budget is adhered to bythe Ministry and the Budget is drawn upaccording to the instructions issued bythe Budget Division from time to time thetimelines and other stipulations indicatedin the Budget Circular have to be closelymonitored for adherence;ii. To scrutinize budget proposalsthoroughly before sending them toMinistry of Finance;iii. To screen the proposals forSupplementary Demands for Grants;iv. Estimates received by the FinancialAdviser are to be scrutinised with regardto the correctness of accountsclassification, full coverage andreasonableness of the estimates andmodified to the extent necessary in thejudgment of the Financial Adviser.v. Estimates of interest and capital receiptsare to be prepared in accordance withthe guidelines in the Budget Circular andsubmitted to the Budget Division in theprescribed form.vi. Expenditure estimates should be basedon realistic assessment. For newschemes, no provision should normallybe made in the Budget withoutcompletion of pre-Budget scrutiny of aproject/scheme. Similarly, provisions forthe North East, unless specifically exempt,should be separately indicated.vii. It is necessary to take into account theeconomy instructions issued from timeto time by Finance Ministry, including the16BUDGET MANUALneed to rationalise subsidies throughimprovement of operational efficiencyand effective direction of flow of subsidiesto targeted groups. The estimates mustconform and abide by the prescribedeconomy measures.viii. The estimates finally recommended bythe Financial Adviser should besummarised in the form of Statementof Budget Estimates (proposed)/Expenditure Budget and eighteen (18)copies forwarded thereof.ix. After the pre-Budget meetings are over,Financial Advisers are required toprepare the Statement of BudgetEstimates (Final) as per the approvedceilings for expenditure and send themto Budget Division along with otherrequired statements.x. Broad guidelines for preparation of theNotes on Demands as mentioned in theBudget Circular should be followed.xi. Statement showing items of new service/new instrument of service is included inthe Demands for Grants. FinancialAdvisers are required to ensure that theseare sent as soon as SBE (Final) isforwarded to Budget Division.xii. While preparing the Detailed Demandsfor Grants it is important to ensure thatthe classification, namely, major head,minor head, etc. is as per the heads ofaccount prescribed in the List of Majorand Minor Heads of Accounts.xiii. Monthly Expenditure Plan [MEP] for theMinistries selected may be drawn upkeeping in view the extant guidelinesrelating to release of funds, and includedas an annex in the Detailed Demandsfor Grants.xiv. Statement relating to Gender Budget,Child Budget, SC/ST allocation andDisclosures under FRBM Rules should besent immediately after the SBE isfinalized."
ROLE OF MINISTRY OF FINANCE,"The finances of Government havetraditionally been controlled by the Ministry ofFinance. With increase in complexities ingovernance, select powers have been delegatedto Administrative Ministries, but the Ministry ofFinance continues to have the overallresponsibility of co-ordination and control. The Budget Division, has theresponsibility for preparing the Union Budget. Ministry of Finance has issued variousrules and regulations on financial manageme ntand control to be followed uniformly in theGovernment of India."
